0,0,16,0,6,72,16,0,72,64,0,32,12,16,2,0,34,0,128,1,4,0,4,0,0,0,0,3,4,4,25,1
0,2,16,128,6,72,48,0,72,64,0,34,12,16,2,0,34,16,128,1,132,0,4,128,0,0,0,3,4,4,25,1
0,2,16,0,6,64,48,0,64,64,0,96,12,8,2,32,38,17,128,1,132,0,4,0,0,0,0,1,4,0,9,5
0,2,16,0,2,64,48,0,96,64,0,98,12,8,0,32,38,17,0,1,132,32,4,64,0,0,0,1,4,0,9,4
1,0,16,1,6,72,16,0,72,64,0,32,20,17,2,0,2,0,0,1,4,0,4,0,68,0,0,1,14,4,25,3
0,0,24,0,2,72,16,0,72,64,0,32,20,16,2,32,34,0,0,1,5,0,4,0,68,0,0,1,4,0,9,3
0,0,24,1,6,72,48,0,64,64,0,32,20,24,2,32,34,16,0,1,5,16,4,0,64,0,32,1,4,0,9,3
64,64,90,86,66,80,52,37,48,2,98,48,96,146,164,112,34,152,160,128,69,6,130,65,18,34,112,11,8,16,168,13
65,64,90,86,66,80,52,37,48,2,98,32,32,146,164,112,34,57,160,0,69,6,134,65,18,33,112,11,9,16,40,13
192,64,90,94,74,80,52,45,37,2,101,48,96,146,172,241,34,144,162,128,69,14,2,69,18,34,80,11,8,128,168,13
194,131,85,74,74,80,12,41,5,18,1,240,72,71,140,213,66,146,170,160,97,4,75,69,2,2,80,137,18,128,168,32
192,131,85,90,74,80,12,41,37,18,69,240,96,70,140,245,66,144,162,160,101,6,67,69,2,2,80,9,18,128,168,20
73,70,38,2,80,13,35,5,236,13,43,9,96,72,62,16,160,0,74,53,134,5,0,8,112,12,36,0,128,18,193,72
104,70,39,2,80,141,161,5,168,141,43,9,96,76,28,16,128,32,65,53,130,32,2,12,113,8,36,8,192,22,197,72
1,0,10,0,4,6,32,0,96,96,2,0,16,0,18,32,144,4,0,33,4,16,16,64,64,0,0,4,8,0,24,2
1,0,10,128,4,6,32,0,96,96,2,0,144,8,26,32,144,4,0,33,5,144,16,64,64,1,0,4,8,0,24,2
1,230,182,0,82,13,38,9,236,7,35,13,96,64,30,18,160,0,74,4,198,133,48,67,48,14,4,0,0,0,224,65
1,0,11,0,4,82,32,0,96,104,2,0,144,8,24,160,144,4,0,161,5,144,16,64,1,1,32,4,0,0,56,2
1,0,9,0,36,82,32,0,96,104,2,0,208,88,24,160,144,4,0,33,5,160,64,64,0,1,32,4,0,0,40,2
104,70,35,166,84,172,160,85,0,205,25,73,224,100,24,135,0,32,33,21,128,80,130,140,41,0,108,160,128,94,150,232
2,60,195,64,83,120,34,66,40,128,8,32,32,144,197,180,162,106,16,24,1,144,144,40,2,12,0,162,129,113,90,172
33,28,216,1,114,56,178,194,74,96,40,0,0,184,37,240,162,108,0,0,5,48,144,32,4,44,1,34,216,97,75,132
0,104,195,68,82,96,34,70,41,128,8,40,40,177,197,148,34,234,17,0,1,130,128,96,2,12,0,10,134,85,82,233
0,104,195,196,86,112,32,6,41,128,8,40,40,177,197,148,34,232,17,0,1,130,160,224,2,12,0,10,134,85,82,169
1,24,210,64,66,120,160,6,106,32,40,40,8,176,229,244,35,108,32,0,5,144,148,48,2,12,0,34,201,113,75,140
1,24,210,64,67,120,160,2,106,32,40,40,8,184,229,176,35,108,32,0,5,144,148,48,2,12,0,34,201,97,75,132
64,64,211,4,70,96,32,6,33,130,74,42,44,145,193,148,34,248,160,0,1,2,128,64,16,4,20,10,134,208,36,41
64,64,211,64,66,121,32,6,40,130,42,40,40,144,229,180,34,184,162,0,1,0,6,64,18,4,16,42,131,208,0,45
6,226,83,64,82,0,41,80,33,36,33,128,8,199,192,20,38,156,0,176,64,130,136,64,32,0,5,172,2,178,38,160
6,226,211,64,82,0,41,16,33,133,33,128,8,199,192,20,38,188,0,128,64,130,128,64,32,0,5,140,34,178,38,160
76,202,194,0,64,0,45,17,33,132,1,133,8,195,64,20,68,168,1,142,64,2,128,64,112,0,133,8,34,178,164,32
