0,96,128,5,0,11,4,5,4,162,2,0,128,0,65,8,0,40,2,0,64,148,65,2,4,20,20,0,0,16,0,8
0,96,128,1,128,3,4,4,6,162,2,0,128,0,1,0,0,32,2,0,64,148,65,10,4,20,20,0,0,48,0,8
8,70,34,33,0,14,161,70,0,172,8,1,160,8,19,0,128,44,1,5,128,144,0,8,196,0,40,160,192,20,22,200
8,70,34,33,32,46,161,22,0,172,8,1,129,8,19,0,136,108,1,5,128,144,0,8,192,80,136,160,128,84,22,200
128,96,128,21,0,10,4,5,0,162,2,0,128,0,65,8,0,40,2,0,64,148,65,2,4,20,20,0,0,16,0,8
41,70,34,32,4,12,161,6,40,172,8,1,36,136,83,0,128,44,1,5,132,144,128,8,96,4,36,160,0,20,82,200
8,106,33,161,4,139,129,20,4,166,16,129,163,132,81,0,8,40,5,69,136,148,64,0,192,0,184,160,4,24,20,200
82,0,8,44,8,4,0,130,0,66,136,1,35,0,35,72,0,64,57,4,8,1,18,33,144,103,24,16,16,1,24,72
83,0,8,172,8,4,0,134,0,66,136,1,35,0,35,72,1,64,121,4,12,1,18,1,129,103,152,16,16,16,24,72
19,0,8,132,12,4,0,132,128,74,128,0,35,0,19,8,129,64,125,1,12,5,18,1,129,67,184,144,16,16,24,72
1,4,8,128,12,4,0,132,128,74,128,0,3,0,16,10,129,0,61,1,12,5,18,1,129,67,248,16,0,16,24,8
1,68,4,148,13,4,0,132,192,74,128,0,2,0,50,10,129,0,92,1,12,5,18,145,129,82,80,16,16,20,16,72
1,192,36,144,13,4,0,4,192,90,128,0,128,0,16,34,129,0,88,1,4,5,18,147,129,18,80,16,16,28,16,14
128,130,17,65,2,24,164,105,24,32,32,80,72,0,140,161,54,20,128,32,112,80,33,6,8,0,4,68,65,0,133,36
128,130,17,64,2,26,164,105,16,36,32,80,72,0,140,160,54,21,128,48,112,16,32,6,40,0,4,68,65,0,133,36
1,192,37,16,45,5,0,4,196,90,128,0,128,8,16,33,128,0,72,1,37,5,0,17,160,18,80,16,0,16,16,6
129,192,37,144,45,81,0,36,196,26,128,16,128,8,16,161,128,0,72,1,101,100,96,145,32,16,68,16,0,24,16,6
128,192,37,144,44,80,0,36,192,18,144,16,128,24,16,161,128,0,72,1,97,100,96,148,32,16,68,16,4,24,16,6
128,192,37,144,36,80,132,37,192,16,144,80,128,24,16,161,128,0,74,1,97,100,96,148,36,16,68,83,68,24,128,4
128,162,81,64,130,26,32,104,32,36,32,144,72,4,140,132,54,21,128,56,114,16,32,68,8,0,0,68,1,2,7,160
128,34,65,64,128,146,32,97,32,36,33,144,72,4,140,132,54,20,128,56,82,16,40,68,8,0,1,68,1,2,131,160
128,192,37,16,36,209,132,37,196,16,16,16,128,24,144,161,128,0,64,1,96,100,96,20,36,16,68,67,68,0,128,5
128,192,37,17,36,208,132,33,72,16,16,48,128,24,144,161,128,0,0,1,96,108,97,4,36,16,4,67,68,8,128,5
128,192,37,81,36,208,132,33,72,16,16,48,132,24,128,129,136,0,2,1,112,108,97,4,36,16,4,67,64,8,128,33
128,64,5,65,32,73,132,33,28,16,16,50,128,24,132,129,0,0,2,0,112,104,65,4,44,8,4,66,64,8,132,33
128,2,17,65,130,73,132,9,28,0,48,48,0,16,132,129,2,0,130,0,48,104,65,0,44,0,0,66,65,0,196,33
128,18,17,65,130,9,132,73,28,0,48,48,0,16,132,133,18,16,130,0,48,88,65,16,12,0,0,2,65,0,197,33
128,19,80,1,130,9,129,73,12,32,48,48,0,0,12,4,54,16,130,32,16,24,1,0,12,0,0,2,65,0,199,161
32,51,80,1,130,9,33,72,12,32,32,32,76,0,8,4,54,16,130,32,16,16,1,0,12,0,0,4,1,0,7,161
0,162,24,32,194,8,20,121,0,36,1,8,4,0,0,16,38,157,128,18,82,24,8,4,124,1,36,96,32,0,134,128
